E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
161.1,602,161.1,627,161.1,630,161.1,670,161.1,645,161.1,590,161.1,594,161.1,498
162.8,598,162.8,636,162.8,698,162.8,652,162.8,583,162.8,590,162.8,552,162.8,522
164.6,559,164.6,635,164.6,661,164.6,656,164.6,618,164.6,580,164.6,529,164.6,527
166.3,544,166.3,579,166.3,683,166.3,662,166.3,623,166.3,580,166.3,551,166.3,506
168.1,613,168.1,639,168.1,675,168.1,629,168.1,580,168.1,576,168.1,577,168.1,496
169.8,617,169.8,662,169.8,674,169.8,669,169.8,618,169.8,595,169.8,560,169.8,506
171.6,586,171.6,663,171.6,647,171.6,602,171.6,645,171.6,560,171.6,570,171.6,515
173.3,634,173.3,660,173.3,652,173.3,637,173.3,643,173.3,578,173.3,557,173.3,508
175.1,595,175.1,635,175.1,705,175.1,630,175.1,573,175.1,581,175.1,521,175.1,490
176.8,629,176.8,663,176.8,641,176.8,678,176.8,617,176.8,625,176.8,536,176.8,551
178.6,618,178.6,640,178.6,648,178.6,704,178.6,624,178.6,601,178.6,527,178.6,536
180.3,651,180.3,662,180.3,684,180.3,714,180.3,579,180.3,585,180.3,551,180.3,539
182.1,680,182.1,635,182.1,649,182.1,681,182.1,664,182.1,611,182.1,572,182.1,533
183.8,707,183.8,713,183.8,719,183.8,651,183.8,612,183.8,579,183.8,548,183.8,554
185.6,744,185.6,761,185.6,688,185.6,703,185.6,669,185.6,645,185.6,597,185.6,499
187.3,757,187.3,754,187.3,699,187.3,719,187.3,738,187.3,570,187.3,589,187.3,519
189.1,790,189.1,757,189.1,750,189.1,695,189.1,664,189.1,621,189.1,583,189.1,539
190.8,850,190.8,752,190.8,746,190.8,673,190.8,635,190.8,600,190.8,590,190.8,534
192.6,803,192.6,810,192.6,724,192.6,707,192.6,727,192.6,631,192.6,567,192.6,501
194.3,814,194.3,740,194.3,719,194.3,722,194.3,656,194.3,657,194.3,612,194.3,524
196.1,818,196.1,779,196.1,782,196.1,681,196.1,678,196.1,631,196.1,551,196.1,520
197.8,829,197.8,791,197.8,723,197.8,678,197.8,623,197.8,621,197.8,532,197.8,537
199.6,803,199.6,763,199.6,748,199.6,722,199.6,629,199.6,593,199.6,538,199.6,505
201.3,734,201.3,726,201.3,759,201.3,703,201.3,620,201.3,532,201.3,571,201.3,475
203.1,764,203.1,696,203.1,686,203.1,655,203.1,565,203.1,537,203.1,564,203.1,500
204.8,790,204.8,723,204.8,738,204.8,634,204.8,594,204.8,603,204.8,532,204.8,460
