E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
238.1,512,238.1,332,238.1,254,238.1,205,238.1,162,238.1,157,238.1,120,238.1,117
239.8,544,239.8,340,239.8,238,239.8,185,239.8,166,239.8,142,239.8,137,239.8,101
241.6,535,241.6,312,241.6,227,241.6,188,241.6,147,241.6,126,241.6,127,241.6,132
243.3,468,243.3,318,243.3,230,243.3,189,243.3,149,243.3,166,243.3,117,243.3,113
245.1,473,245.1,275,245.1,224,245.1,186,245.1,163,245.1,135,245.1,129,245.1,112
246.8,457,246.8,343,246.8,244,246.8,182,246.8,138,246.8,143,246.8,132,246.8,125
248.6,492,248.6,284,248.6,219,248.6,200,248.6,157,248.6,148,248.6,122,248.6,120
250.3,487,250.3,335,250.3,207,250.3,185,250.3,126,250.3,125,250.3,130,250.3,118
252.1,485,252.1,313,252.1,243,252.1,191,252.1,158,252.1,102,252.1,99,252.1,119
253.8,506,253.8,298,253.8,186,253.8,198,253.8,145,253.8,128,253.8,129,253.8,108
255.6,508,255.6,312,255.6,186,255.6,149,255.6,167,255.6,126,255.6,127,255.6,95
257.3,431,257.3,300,257.3,209,257.3,175,257.3,138,257.3,115,257.3,123,257.3,117
259.1,434,259.1,272,259.1,190,259.1,138,259.1,137,259.1,123,259.1,104,259.1,82
260.8,441,260.8,279,260.8,201,260.8,165,260.8,137,260.8,115,260.8,103,260.8,94
262.6,443,262.6,273,262.6,190,262.6,156,262.6,130,262.6,110,262.6,104,262.6,94
264.3,424,264.3,281,264.3,195,264.3,152,264.3,134,264.3,98,264.3,118,264.3,88
266.1,386,266.1,268,266.1,195,266.1,156,266.1,124,266.1,111,266.1,93,266.1,93
267.8,452,267.8,282,267.8,201,267.8,143,267.8,123,267.8,95,267.8,102,267.8,84
269.6,425,269.6,314,269.6,194,269.6,130,269.6,111,269.6,91,269.6,83,269.6,69
271.3,402,271.3,276,271.3,195,271.3,142,271.3,120,271.3,94,271.3,79,271.3,85
273.1,450,273.1,253,273.1,213,273.1,121,273.1,124,273.1,100,273.1,93,273.1,90
274.8,423,274.8,259,274.8,203,274.8,134,274.8,125,274.8,116,274.8,94,274.8,68
276.6,364,276.6,286,276.6,190,276.6,120,276.6,123,276.6,95,276.6,84,276.6,77
278.3,394,278.3,257,278.3,177,278.3,143,278.3,99,278.3,85,278.3,95,278.3,76
280.1,431,280.1,231,280.1,192,280.1,145,280.1,120,280.1,104,280.1,81,280.1,86
281.8,443,281.8,266,281.8,203,281.8,113,281.8,122,281.8,111,281.8,84,281.8,74
283.6,432,283.6,269,283.6,177,283.6,140,283.6,119,283.6,95,283.6,85,283.6,68
285.3,393,285.3,254,285.3,182,285.3,131,285.3,126,285.3,76,285.3,91,285.3,80
287.1,379,287.1,270,287.1,169,287.1,140,287.1,125,287.1,104,287.1,78,287.1,71
288.8,408,288.8,272,288.8,193,288.8,134,288.8,124,288.8,79,288.8,77,288.8,69
290.6,380,290.6,251,290.6,186,290.6,136,290.6,113,290.6,92,290.6,76,290.6,72
292.3,425,292.3,254,292.3,172,292.3,155,292.3,99,292.3,97,292.3,74,292.3,74
294.1,386,294.1,273,294.1,208,294.1,129,294.1,113,294.1,94,294.1,86,294.1,83
295.8,396,295.8,273,295.8,169,295.8,140,295.8,100,295.8,97,295.8,73,295.8,70
297.6,398,297.6,262,297.6,210,297.6,125,297.6,113,297.6,93,297.6,73,297.6,69
299.3,365,299.3,266,299.3,175,299.3,116,299.3,93,299.3,80,299.3,81,299.3,64
301.1,378,301.1,259,301.1,161,301.1,133,301.1,115,301.1,91,301.1,79,301.1,75
302.8,410,302.8,250,302.8,201,302.8,147,302.8,97,302.8,83,302.8,74,302.8,63
304.6,412,304.6,271,304.6,169,304.6,130,304.6,98,304.6,93,304.6,69,304.6,65
306.3,387,306.3,271,306.3,182,306.3,144,306.3,109,306.3,96,306.3,75,306.3,60
308.1,381,308.1,245,308.1,171,308.1,134,308.1,107,308.1,77,308.1,78,308.1,61
309.8,393,309.8,228,309.8,174,309.8,138,309.8,111,309.8,86,309.8,64,309.8,69
311.6,367,311.6,255,311.6,181,311.6,114,311.6,90,311.6,96,311.6,63,311.6,69
313.3,421,313.3,273,313.3,195,313.3,132,313.3,96,313.3,80,313.3,64,313.3,55
315.1,372,315.1,264,315.1,196,315.1,147,315.1,108,315.1,81,315.1,77,315.1,58
316.8,334,316.8,253,316.8,165,316.8,112,316.8,112,316.8,82,316.8,65,316.8,67
318.6,352,318.6,260,318.6,159,318.6,111,318.6,119,318.6,96,318.6,67,318.6,63
320.3,363,320.3,246,320.3,167,320.3,122,320.3,88,320.3,96,320.3,63,320.3,62
322.1,420,322.1,269,322.1,173,322.1,119,322.1,78,322.1,67,322.1,53,322.1,77
323.8,365,323.8,230,323.8,177,323.8,134,323.8,90,323.8,81,323.8,74,323.8,52
325.6,357,325.6,235,325.6,148,325.6,131,325.6,86,325.6,76,325.6,61,325.6,75
327.3,374,327.3,257,327.3,175,327.3,126,327.3,91,327.3,72,327.3,79,327.3,59
329.1,355,329.1,225,329.1,180,329.1,123,329.1,106,329.1,67,329.1,48,329.1,49
330.8,369,330.8,241,330.8,153,330.8,117,330.8,100,330.8,58,330.8,63,330.8,63
332.6,348,332.6,236,332.6,170,332.6,99,332.6,99,332.6,58,332.6,65,332.6,58
334.3,368,334.3,236,334.3,159,334.3,125,334.3,93,334.3,80,334.3,67,334.3,62
336.1,377,336.1,241,336.1,164,336.1,108,336.1,91,336.1,74,336.1,54,336.1,49
