I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;
23.7;0.9;;29.15;1.45;;39.8;2.2;;21.25;2.6;;25;3.5;;25.2;3.85;;22.65;3.5;;21.05;3.3;;44.7;10;
23.85;0.95;;29.35;1.45;;40;2.25;;21.35;2.65;;25.15;3.55;;25.5;3.9;;22.95;3.55;;21.05;3.3;;44.9;10.15;
23.95;0.9;;29.45;1.45;;40.2;2.25;;21.45;2.65;;25.2;3.5;;25.6;3.95;;23.05;3.6;;21.2;3.3;;45.3;10.3;
24.05;0.85;;29.7;1.4;;40.45;2.2;;21.6;2.65;;25.35;3.65;;25.8;4;;23.2;3.65;;21.35;3.35;;45.8;10.4;
24.1;0.9;;30;1.4;;40.6;2.2;;21.7;2.75;;25.45;3.6;;25.95;4.05;;23.5;3.75;;21.55;3.4;;46.25;10.55;
24.2;0.85;;30.15;1.45;;40.75;2.25;;21.85;2.75;;25.65;3.7;;26;4;;23.8;3.75;;21.7;3.45;;46.6;10.65;
24.35;0.95;;30.3;1.45;;40.85;2.25;;22;2.7;;25.9;3.7;;26;4.1;;24;3.75;;21.8;3.5;;46.95;10.75;
24.5;0.9;;30.5;1.45;;41.15;2.25;;22.15;2.7;;26.15;3.7;;26.15;4.05;;24.15;3.85;;21.85;3.4;;47.35;10.85;
24.6;0.9;;30.7;1.45;;41.35;2.25;;22.35;2.8;;26.25;3.75;;26.25;4.1;;24.35;3.95;;21.8;3.45;;47.7;10.95;
24.65;0.9;;30.85;1.4;;41.6;2.3;;22.55;2.8;;26.35;3.75;;26.4;4.1;;24.6;3.9;;21.85;3.45;;48;11.1;
24.85;0.9;;30.9;1.4;;41.75;2.25;;22.75;2.8;;26.45;3.8;;26.45;4.1;;25;4;;21.85;3.5;;48.45;11.2;
24.95;0.9;;31.05;1.45;;42.05;2.3;;23.05;2.85;;26.55;3.85;;26.5;4.15;;25.25;4.1;;21.85;3.5;;48.75;11.35;
25.1;0.9;;31.15;1.45;;42.35;2.25;;23.15;2.85;;26.75;3.75;;26.6;4.15;;25.4;4.15;;21.9;3.45;;49.1;11.45;
25.1;0.9;;31.35;1.4;;42.65;2.25;;23.3;2.9;;26.85;3.85;;26.7;4.2;;25.35;4.15;;21.95;3.55;;49.5;11.6;
25.2;0.9;;31.6;1.45;;42.85;2.25;;23.55;2.85;;26.95;3.9;;26.8;4.2;;25.45;4.15;;21.95;3.55;;49.85;11.65;
25.25;0.85;;31.85;1.45;;43;2.25;;23.7;3;;27.15;3.9;;27;4.2;;25.7;4.2;;22.1;3.55;;49.95;11.8;
25.35;0.95;;32.2;1.45;;43.3;2.25;;23.8;2.95;;27.35;3.9;;27.2;4.3;;26.05;4.25;;22.2;3.6;;50.25;11.85;
25.4;0.9;;32.4;1.45;;43.6;2.25;;23.9;2.95;;27.65;3.95;;27.3;4.3;;26.25;4.35;;22.2;3.55;;50.65;11.95;
25.45;0.85;;32.55;1.45;;43.95;2.2;;24;2.9;;27.8;4.05;;27.4;4.3;;26.4;4.35;;22.25;3.55;;50.8;12.05;
25.55;0.95;;32.75;1.45;;44.25;2.2;;24.1;2.95;;27.95;3.95;;27.55;4.3;;26.6;4.4;;22.35;3.6;;51.25;12.15;
25.7;0.9;;32.8;1.45;;44.55;2.25;;24.35;3;;28.05;4.05;;27.9;4.35;;26.8;4.45;;22.4;3.65;;52;12.3;
25.85;0.9;;33;1.45;;45;2.25;;24.5;3;;28.15;4.1;;28.05;4.45;;27;4.5;;22.4;3.65;;52.6;12.55;
26;0.9;;33.1;1.45;;45.35;2.25;;24.65;3.05;;28.4;4.05;;28.2;4.5;;27.25;4.55;;22.5;3.6;;52.95;12.7;
26.1;0.9;;33.2;1.45;;45.65;2.25;;24.85;3.05;;28.6;4.1;;28.3;4.5;;27.35;4.6;;22.55;3.65;;53.2;12.8;
26.15;0.9;;33.4;1.45;;45.8;2.25;;25.05;3;;28.65;4.05;;28.4;4.5;;27.65;4.65;;22.55;3.65;;53.55;12.9;
26.2;0.9;;33.6;1.45;;45.95;2.3;;25.2;3.05;;28.75;4.15;;28.6;4.6;;27.9;4.7;;22.6;3.65;;53.9;13;
26.25;0.9;;33.75;1.5;;46.1;2.25;;25.45;3.1;;28.9;4.15;;28.8;4.6;;28;4.8;;22.7;3.65;;54.4;13.05;
26.25;0.9;;34;1.45;;46.3;2.25;;25.6;3.15;;29;4.2;;28.9;4.65;;28.1;4.75;;22.8;3.7;;54.85;13.25;
26.25;0.85;;34.2;1.45;;46.45;2.2;;25.6;3.15;;29.2;4.25;;29;4.65;;28.35;4.8;;22.95;3.75;;55.25;13.4;
26.35;0.85;;34.4;1.45;;46.55;2.25;;25.8;3.1;;29.25;4.2;;29.15;4.65;;28.55;4.85;;23.15;3.75;;55.7;13.5;
26.4;0.9;;34.6;1.5;;46.8;2.3;;26.05;3.1;;29.35;4.2;;29.25;4.7;;28.8;4.9;;23.3;3.8;;56.25;13.7;
26.55;0.9;;34.8;1.45;;47.15;2.25;;26.2;3.1;;29.45;4.25;;29.25;4.75;;29.05;5.05;;23.4;3.85;;56.4;13.85;
26.6;0.9;;35;1.45;;47.4;2.25;;26.45;3.1;;29.6;4.25;;29.3;4.7;;29.2;5;;23.5;3.85;;56.5;13.85;
26.65;0.95;;35.15;1.4;;47.65;2.25;;26.65;3.15;;29.85;4.3;;29.45;4.75;;29.45;5.05;;23.55;3.95;;56.8;13.85;
26.7;0.9;;35.35;1.5;;47.9;2.25;;26.95;3.15;;30.1;4.3;;29.55;4.8;;29.5;5.1;;23.65;3.9;;57;14;
26.75;0.9;;35.55;1.45;;48.1;2.25;;27.15;3.15;;30.25;4.35;;29.75;4.8;;29.6;5.15;;23.85;3.9;;57.25;14.05;
26.85;0.95;;35.75;1.4;;48.35;2.25;;27.25;3.2;;30.35;4.35;;29.8;4.85;;29.6;5.15;;24;3.95;;57.65;14.2;
26.85;0.9;;36;1.45;;48.65;2.25;;27.35;3.2;;30.4;4.35;;29.9;4.85;;29.7;5.15;;24.15;4;;57.9;14.25;
26.95;0.9;;36.25;1.45;;48.95;2.25;;27.6;3.15;;30.6;4.4;;29.95;4.9;;29.85;5.15;;24.25;4.05;;58.1;14.3;
27.15;0.9;;36.4;1.45;;49.1;2.3;;27.95;3.15;;30.7;4.4;;30.05;4.85;;30;5.2;;24.35;4.1;;58.3;14.4;
27.4;0.9;;36.5;1.45;;49.4;2.25;;28.4;3.15;;30.75;4.45;;30.25;4.85;;30.15;5.25;;24.5;4.1;;58.6;14.45;
27.5;0.95;;36.7;1.5;;49.65;2.3;;28.85;3.15;;30.85;4.45;;30.45;4.95;;30.2;5.25;;24.85;4.2;;58.9;14.5;
27.6;0.95;;36.9;1.45;;49.9;2.25;;29.15;3.2;;31.15;4.4;;30.6;4.95;;30.4;5.3;;25.1;4.2;;59.05;14.65;
27.7;0.9;;37.05;1.5;;50.1;2.25;;29.6;3.2;;31.45;4.45;;30.75;5;;30.65;5.35;;25.15;4.3;;59.3;14.65;
27.9;0.85;;37.2;1.45;;50.3;2.25;;30.1;3.2;;31.6;4.45;;31;5;;30.65;5.4;;25.15;4.3;;59.35;14.75;
28.1;0.9;;37.4;1.5;;50.6;2.3;;30.75;3.2;;31.7;4.5;;31.15;5.1;;30.75;5.4;;25.2;4.35;;59.55;14.8;
28.2;0.9;;37.65;1.45;;50.95;2.3;;31.35;3.2;;31.95;4.55;;31.45;5.15;;30.8;5.5;;25.15;4.3;;59.8;14.85;
28.45;0.9;;37.9;1.45;;51.45;2.3;;32.1;3.2;;32.3;4.5;;31.75;5.25;;31.05;5.5;;25.2;4.35;;60;14.95;
28.7;0.9;;38.3;1.5;;51.9;2.3;;32.9;3.2;;32.7;4.5;;32;5.2;;31.2;5.5;;25.2;4.3;;60.25;14.95;
29.05;0.9;;38.9;1.45;;52.2;2.3;;33.45;3.2;;33.1;4.55;;32.15;5.3;;31.55;5.6;;25.2;4.3;;60.55;15.1;
29.4;0.85;;39.35;1.45;;52.65;2.3;;34;3.2;;33.65;4.55;;32.3;5.35;;31.85;5.7;;25.25;4.3;;60.7;15.15;
29.6;0.9;;39.65;1.45;;53.05;2.3;;34.35;3.25;;34.05;4.55;;32.45;5.35;;32.05;5.7;;25.45;4.35;;61;15.25;
29.75;0.95;;40;1.45;;53.5;2.35;;34.7;3.3;;34.3;4.55;;32.7;5.45;;32.25;5.75;;25.8;4.4;;61.2;15.35;
29.9;0.9;;40.4;1.4;;53.75;2.3;;35.15;3.2;;34.7;4.6;;32.85;5.4;;32.35;5.85;;25.95;4.55;;61.35;15.35;
30.15;0.9;;40.6;1.5;;54.1;2.3;;35.6;3.25;;35.15;4.65;;33.1;5.45;;32.5;5.85;;26.2;4.45;;61.6;15.35;
30.35;0.9;;40.9;1.45;;54.5;2.35;;36.2;3.25;;35.55;4.6;;33.25;5.5;;32.65;5.85;;26.6;4.55;;61.7;15.5;
30.4;0.9;;41.15;1.5;;54.85;2.3;;36.8;3.3;;36.15;4.6;;33.55;5.55;;32.95;5.9;;26.85;4.65;;61.85;15.6;
30.6;1;;41.4;1.5;;55.2;2.25;;37.4;3.25;;36.7;4.6;;33.95;5.65;;33.2;5.95;;27.05;4.75;;62.1;15.6;
31.05;0.95;;41.5;1.5;;55.45;2.3;;38.2;3.25;;37.3;4.6;;34.35;5.65;;33.45;6;;27.1;4.75;;62.3;15.65;
31.55;0.95;;41.7;1.5;;55.8;2.3;;38.9;3.25;;37.8;4.6;;34.6;5.8;;33.7;6.15;;27.2;4.75;;62.6;15.65;
32.2;0.95;;42;1.5;;56.2;2.3;;39.75;3.25;;38.25;4.6;;34.85;5.8;;33.8;6.1;;27.4;4.8;;62.75;15.75;
32.55;0.95;;42.45;1.5;;56.6;2.3;;40.65;3.25;;38.65;4.65;;35;5.85;;34;6.15;;27.9;4.85;;63;15.8;
32.8;0.95;;42.9;1.45;;56.95;2.3;;41.35;3.2;;39.15;4.7;;35.05;5.85;;34.1;6.25;;28.25;5.05;;63.1;15.85;
33.05;0.95;;43.15;1.5;;57.4;2.3;;42.05;3.3;;39.6;4.7;;35.15;5.85;;34.35;6.25;;28.45;5.1;;63.3;15.95;
33.25;0.95;;43.45;1.5;;57.8;2.3;;42.85;3.3;;40;4.6;;35.45;5.95;;34.45;6.35;;28.8;5.15;;63.45;15.95;
